enzyme_type	source	time	score	p_value
TF	MYC	12h	-1.44327542398684	0.148964418023961
TF	SMAD3	12h	1.73090165317138	0.0834904967245839
TF	SMAD4	12h	5.88613047134916	4.04038074960116e-09
TF	SP1	12h	1.72098087294063	0.0852755434719671
TF	TP53	12h	2.65834766420313	0.00786106807327908
TF	RUNX1	12h	0.10027013573778	0.920131247027883
TF	STAT1	12h	0.795281039438641	0.426463007012597
TF	STAT3	12h	0.612964722880697	0.539909241708375
TF	RELA	12h	-2.49559927119961	0.0125854384214236
TF	E2F1	12h	1.82800356350931	0.067569472809886
TF	E2F3	12h	-0.606411623474773	0.544250908162405
TF	YY1	12h	0.249598288373445	0.802901544181731
TF	STAT4	12h	0.989845623074447	0.322266033628154
TF	WT1	12h	-0.894934976739333	0.37083664493497
TF	IRF3	12h	-1.76887274614486	0.0769360499365957
TF	STAT5A	12h	-0.0336041962683025	0.973193236747687
TF	ETS1	12h	2.24114582433667	0.0250316426314353
TF	ARNT	12h	-0.621176716697124	0.534493083456035
TF	AHR	12h	-1.63641156628263	0.101775097568309
TF	RBPJ	12h	2.74608004373194	0.00603861185883354
TF	ATF2	12h	0.937544632504719	0.348494030720412
TF	JUN	12h	1.17723037801112	0.239122814148186
TF	HNF4A	12h	-0.755256004400004	0.450107610388039
TF	RARA	12h	-0.117826953430756	0.906206398187419
TF	PPARG	12h	-1.09603473962173	0.27308170390769
TF	AR	12h	-0.29024463805556	0.771633223298651
TF	ATF1	12h	1.00156233515497	0.316571667704504
TF	GATA4	12h	-1.30482671572579	0.191972486211201
TF	RARG	12h	0.215579542044962	0.829318524211046
TF	ESR2	12h	-0.318905684841964	0.749802608931325
TF	ESR1	12h	-1.53214394315888	0.12550864864631
TF	PAX6	12h	3.47165546220964	0.000518760415546506
TF	EGR1	12h	1.29721378064869	0.194578198718053
TF	FOS	12h	1.24839597102991	0.211906161466363
TF	CREB1	12h	-0.381678556108677	0.702705378782337
TF	NFKB1	12h	2.67129620811798	0.00756429831254911
TF	ATF4	12h	-0.024860003747211	0.980166970505239
TF	ATF3	12h	-1.0956636587042	0.273244118520804
TF	NR5A1	12h	-1.80065478192582	0.0717779997782957
TF	FOXO3	12h	-0.814756728783733	0.415224902955578
TF	USF1	12h	1.40517124663091	0.159991701713901
TF	ELK1	12h	-0.13910620915195	0.889368146038829
TF	FLI1	12h	-0.028182802860209	0.977516739438458
TF	ELK4	12h	-0.868708851329448	0.385020720580169
TF	CEBPA	12h	-0.738606853035378	0.46015766951427
TF	HIF1A	12h	-0.874326468879299	0.381954912717196
TF	TP73	12h	1.01623529544439	0.309534242106757
TF	E2F4	12h	-0.58696855460572	0.557233928785452
TF	ETS2	12h	-3.4649431056547	0.000531871240640501
TF	GATA3	12h	0.707929888132393	0.479000132362842
TF	REL	12h	-1.94309582115098	0.0520238338931319
TF	LEF1	12h	0.152262426110183	0.878982069112344
TF	CEBPB	12h	-0.748426188022101	0.454215222941253
TF	SRF	12h	8.9444071968422	4.18371181502783e-19
TF	SOX9	12h	0.355188078430318	0.722453841229803
TF	IRF1	12h	-0.92539783285664	0.35477434604973
TF	SP3	12h	0.648235404440258	0.516842930605002
TF	MEF2A	12h	-2.15568768779774	0.0311243966508734
TF	RUNX2	12h	0.0728755407128338	0.941906159090702
TF	YBX1	12h	0.137670342574094	0.890502863440049
TF	PDX1	12h	0.819926083180108	0.412271671021182
TF	RFX1	12h	1.7222287265373	0.0850493344732846
TF	FOXO1	12h	-1.05722115286441	0.29042821196662
TF	SPI1	12h	-0.194385672096401	0.845876620470235
TF	NR5A2	12h	-1.92613078067082	0.054107495680817
TF	POU2F1	12h	3.55843182738686e-05	0.999971608309448
TF	STAT6	12h	-0.717249855373069	0.473231450368745
TF	MYCN	12h	0.976131086483632	0.329015728763386
TF	TP63	12h	2.62730998117729	0.0086153109363711
TF	MAZ	12h	-0.140320591224943	0.888408637248542
TF	SREBF1	12h	-0.207218410237705	0.83584218851572
TF	FOSL1	12h	-0.952149893502901	0.341036777269722
TF	JUNB	12h	-0.634617663625599	0.525687778376158
TF	PAX5	12h	-1.97923960349456	0.0478078465978524
TF	HSF1	12h	-1.10036561451073	0.271191049625477
TF	TFAP2A	12h	-2.24674595926582	0.0246711907248535
TF	SREBF2	12h	0.587620243411633	0.556796334820854
TF	PGR	12h	-0.0861080795829539	0.931381685162915
TF	KLF1	12h	-3.08132094251092	0.00206468993369008
TF	NFIC	12h	-0.520482358757283	0.602735336256518
TF	ESRRA	12h	-0.2641006649364	0.791706090139953
TF	TFAP2C	12h	0.942092951033786	0.346160686879883
TF	PAX8	12h	-2.48250433728768	0.0130574323296218
TF	ETV4	12h	0.682829862142703	0.4947252238624
TF	MEF2C	12h	0.870319680399106	0.384140077827291
TF	PPARA	12h	1.66511355285765	0.0959116226117102
TF	EPAS1	12h	5.13315704196681	2.88592502200162e-07
TF	IRF2	12h	-1.07847125140296	0.280841374533677
TF	ELF1	12h	0.514190473188794	0.607126633212162
TF	USF2	12h	-1.3231890302902	0.185793305611802
TF	ATF6	12h	3.78550060545461	0.000154015125010533
TF	IRF8	12h	2.0748536830994	0.0380176233381665
TF	ERG	12h	0.328823048273357	0.742294171115489
TF	CTCF	12h	0.268977131778888	0.787951092497734
TF	CREM	12h	1.5916430309673	0.111486648973935
TF	MITF	12h	-2.12775997932514	0.0333737450505894
TF	MYB	12h	0.280140561835792	0.779373646818391
TF	ETV6	12h	0.1899281667838	0.84936806848118
TF	SMAD1	12h	-0.560388359900311	0.575223193466344
TF	NEUROD1	12h	0.501819153097354	0.615802328532065
TF	REST	12h	-0.848967647911011	0.395913255113289
TF	FOXA2	12h	-0.876252911603565	0.380907016725528
TF	SNAI1	12h	-1.48424928702438	0.137764450289124
TF	CDX2	12h	-0.522412531161087	0.601391082677384
TF	VDR	12h	0.598638698081627	0.549423159065029
TF	GATA2	12h	-0.855014722495666	0.392557068817274
TF	PRDM1	12h	-0.542001679699214	0.587825644765178
TF	CEBPD	12h	-0.163214956062628	0.870351456547397
TF	KLF4	12h	-1.14606282003858	0.251787998998689
TF	TFDP1	12h	1.3839042590448	0.166408990048824
TF	TBX21	12h	-0.307508123279489	0.758461040028261
TF	GABPA	12h	-0.172924378031362	0.862713273573811
TF	ELF3	12h	-2.93702914393392	0.00331892001283232
TF	JUND	12h	-1.03805796695144	0.299260310734291
TF	FOXO4	12h	-2.88646056165495	0.00390174495843494
TF	SPIB	12h	-1.37944181997106	0.1677797626781
TF	BMAL1	12h	-0.30490766863559	0.760440834037535
TF	CLOCK	12h	-0.17058945290944	0.864548962520056
TF	NR1H3	12h	0.633509573378677	0.526410884061775
TF	KLF5	12h	-0.39238785472379	0.694777403388944
TF	SOX10	12h	-2.06411147221272	0.0390248261200535
TF	GATA1	12h	0.593570147576728	0.552808874998374
TF	ZEB1	12h	-0.195321582964063	0.845143927727695
TF	NFE2L2	12h	-0.616499230223622	0.53757472044175
TF	FOXA1	12h	-1.20067030421111	0.229898654706783
TF	HES1	12h	1.89178644231461	0.058539269640876
TF	NFYB	12h	0.53791632961068	0.590643037763738
TF	SP4	12h	-1.47573306304135	0.140037195258384
TF	TAL1	12h	0.0351924591525037	0.971926757760931
TF	NR3C1	12h	-1.3978975413195	0.162165136784973
TF	NR1H2	12h	0.0570340650445039	0.954518842099688
TF	FOXP1	12h	0.02781289414111	0.977811763161789
TF	NR4A1	12h	1.52272116195772	0.127850202933048
TF	NFYA	12h	-1.52474403045082	0.127344678767808
TF	STAT5B	12h	-0.819153577606831	0.412712207211746
TF	FOXM1	12h	-1.554810514117	0.120012943427064
TF	TWIST1	12h	1.83332221271143	0.0667750758071632
TF	CEBPG	12h	-0.43853196479591	0.66100721172929
TF	NR2F1	12h	-0.882897534299808	0.377306215484367
TF	SNAI2	12h	0.140634482665811	0.888160651562842
TF	NFE2	12h	0.525063978598866	0.599546712327373
TF	MAF	12h	0.781675768956404	0.434417858534412
TF	NR2F2	12h	1.38320837723	0.166622195117839
TF	PBX2	12h	0.632322294621838	0.527186229265165
TF	EBF1	12h	-0.212301621135369	0.831874703238968
TF	MAFG	12h	-0.631868045034924	0.527483028262376
TF	MAFK	12h	-0.325159199855414	0.745065258984048
TF	BCL6	12h	-0.114472051736547	0.90886517897132
TF	BACH1	12h	-1.63702266639372	0.101647349250891
TF	E2F2	12h	-0.39343448960705	0.694004362170009
TF	NFKB2	12h	-0.720198218241807	0.471414524346294
TF	TCF3	12h	0.0892863290249433	0.928855586838495
TF	ZEB2	12h	1.19248963469795	0.2330887503212
TF	NFATC1	12h	-1.5389732835581	0.123832553834557
TF	MAX	12h	-0.226955196432641	0.820461768081382
TF	KLF6	12h	-0.77063584077735	0.440935317785388
TF	NR2C2	12h	0.532853668146587	0.594143013566568
TF	MYOD1	12h	-1.61917346131823	0.105431609103946
TF	IRF4	12h	0.415536722719328	0.677755162841183
TF	EHF	12h	-0.207970872028077	0.835254620239869
TF	HNF1B	12h	-1.70600175261168	0.0880290846211323
TF	E2F6	12h	-0.118592553921795	0.905599801168167
TF	POU2F2	12h	-0.205484232124753	0.83719668945943
TF	STAT2	12h	-2.18072102740308	0.029220010846939
TF	RFX5	12h	-2.73140861460671	0.0063140202571296
TF	TBP	12h	1.2933331435625	0.195916385138531
TF	GLI1	12h	-3.38427284253802	0.000715553484281671
TF	ZNF143	12h	0.253476760354131	0.799903397048957
TF	MYBL2	12h	-0.0270722725070356	0.978402461083941
TF	GATA6	12h	2.4274595280084	0.0152170293756656
TF	TFAP4	12h	-2.03382553154603	0.0419872853822321
TF	GLI2	12h	0.209008430504868	0.834444581870325
TF	IRF9	12h	0.194432606649258	0.845839873826964
TF	NRF1	12h	0.333528243606994	0.738740377255719
TF	HHEX	12h	-1.44054208520325	0.149735599206017
TF	PROX1	12h	-0.494608652217532	0.620883857783471
TF	FOXL2	12h	2.0219287052124	0.0432019740831908
TF	POU5F1	12h	0.0611505301603269	0.951240166652392
TF	RELB	12h	0.61320991484156	0.539747130207556
TF	MBD1	12h	-0.647206351964344	0.517508606311035
TF	NANOG	12h	-1.20013952026849	0.23010468984302
TF	SOX2	12h	0.918782143337206	0.358224757438482
TF	RXRA	12h	0.0774414716378237	0.938273414545884
TF	KMT2A	12h	3.56818379010037	0.000360619735279248
TF	HIC1	12h	-2.98285379905333	0.00286047635592218
TF	NR2F6	12h	-2.54019728143711	0.0110892970450307
TF	MAFF	12h	0.105428403449786	0.916037331567644
