source	sign	target	edge_value
AR	1	HOXC8	-1.0
ATF3	-1	ADIPOR2	-1.0
AURKA	-1	STMN1	1.0
BHLHE40	1	PER1	-1.0
BMAL1	1	BHLHE41	-1.0
CABIN1	-1	HDAC5	-1.0
CASP10	1	EIF3A	-1.0
CD40	1	MAP2K4	1.0
CEBPB	1	AFP	1.0
CHFR	-1	PLK1	1.0
CREB1	1	RNF144B	1.0
CREB1	1	S1PR4	1.0
CREB1	1	YAP1	1.0
CSNK1D	1	YWHAQ	1.0
CTNNB1	1	HTRA1	1.0
CTNNB1	1	MMP14	1.0
CTNNB1	1	RCN1	1.0
DNMT1	1	CISH	1.0
E2F1	1	SIAH1	1.0
E2F4	1	NAP1L4	-1.0
E2F4	-1	NPAT	1.0
EGR1	1	CSPG4	1.0
EIF5	1	UBA52	1.0
ELK1	1	ZC3H12A	-1.0
EZH2	1	AR	1.0
EZH2	1	WNT2	1.0
FOSL1	1	DMTF1	-1.0
GLI1	-1	SFRP2	1.0
GRB2	1	ELK1	-1.0
GRHL3	1	HEY1	1.0
HIF1A	1	CCL2	-1.0
HIF1A	1	PRDX3	-1.0
IRF1	1	BLMH	1.0
IRF1	1	CASP1	-1.0
JUN	1	EIF4E	-1.0
JUN	1	POSTN	1.0
JUNB	1	CAPNS1	1.0
JUND	1	TSLP	-1.0
LAMA3	1	ITGA11	1.0
MAPK14	-1	RB1	-1.0
MAPK3	1	E2F1	1.0
MBD2	1	AURKB	1.0
MBD2	1	CDKN1B	1.0
MYC	1	CD63	1.0
MYC	1	CDK5	1.0
MYC	1	CSTB	1.0
MYC	-1	SOCS1	1.0
MYC	1	UROD	1.0
MYC	1	ZHX1	-1.0
NEK6	1	PSMD2	-1.0
NFKB1	1	CCN1	1.0
NFKB1	1	PPM1D	1.0
NFKB1	1	TRADD	1.0
NKX3-1	1	DKK3	1.0
NLGN2	1	DLG4	-1.0
NOTCH1	1	ADAM19	1.0
NOTCH1	1	LFNG	1.0
NR4A1	-1	SREBF1	-1.0
NUP85	1	KPNB1	1.0
PAK4	1	RAN	1.0
PCGF2	-1	HSF2	-1.0
PDGFD	1	NCK1	1.0
PITX2	1	RGS2	1.0
PPM1A	-1	AXIN1	-1.0
PRDM1	1	PSMB8	-1.0
PRKCE	1	RDX	1.0
PSMC1	1	CDC27	1.0
PTPN6	-1	PKM	-1.0
RAB7A	1	RAC1	-1.0
RELA	1	AMIGO2	1.0
RELA	1	BGN	1.0
RELA	1	JUN	1.0
RELA	1	LGALS1	1.0
RELA	1	STAT5A	1.0
RELB	1	CTNNB1	1.0
RORA	1	NPAS2	1.0
RUNX1	1	ITGA2B	1.0
SMAD1	1	LRP5	1.0
SMAD2	-1	CCND1	-1.0
SMAD3	1	CDKN1A	-1.0
SMAD3	1	GREM1	1.0
SMAD3	1	LTBP4	1.0
SMARCA1	1	ISYNA1	1.0
SOD1	1	TP53	1.0
SP1	1	C1QBP	-1.0
SP1	1	DMPK	-1.0
SP1	1	FST	1.0
SP1	1	GDF5	-1.0
SP1	1	KEAP1	-1.0
SP1	1	MUC1	1.0
SP1	1	XRCC5	1.0
SP3	1	CD2AP	1.0
SRC	1	CAPN2	1.0
SRC	1	SIAH2	-1.0
SREBF1	1	CPE	-1.0
STAT1	1	HSPG2	-1.0
STAT3	1	JAK2	1.0
STAT5A	1	BCR	-1.0
TCF7L1	1	PPARD	1.0
THBS1	1	RHOA	-1.0
TP53	-1	TP53BP1	-1.0
TP73	1	CD44	-1.0
UBE3A	1	CDC26	1.0
USF1	1	MYC	1.0
VCPIP1	1	VCP	-1.0
WNT5A	1	GNB1	-1.0
YBX1	1	RPS6KA1	1.0
YY1	-1	CDKN1A	-1.0
