network	node	value	score	type
early	YAP1	1		PKN
early	STAT4	-1	-3.37209149776187	TF
early	EPAS1	1	5.64887119372322	TF
early	ETS2	-1	-3.4649431056547	TF
early	HDAC1	1		PKN
early	PRKD1	1	3.72350430483816	Kinase/ phosphatase
early	MAPK1	1		PKN
early	KLF9	1	3.50483542573002	TF
early	PRKG1	1	3.99343071044892	Kinase/ phosphatase
early	PLK3	-1	-3.69939448143898	Kinase/ phosphatase
early	CHEK1	-1	-3.57260711857967	Kinase/ phosphatase
early	EGR1	1	5.41442434128952	TF
early	CDKN1A	1		PKN
early	CSNK2A1	1	4.24406978488127	Kinase/ phosphatase
early	MAP2K1	1	4.19765535020717	Kinase/ phosphatase
early	TGFB1	1		PKN
early	UHMK1	-1	-3.09824869780951	Kinase/ phosphatase
early	TFAP2A	-1	-3.43412457983933	TF
early	PAX6	1	3.47165546220964	TF
early	AR	1		PKN
early	HIC1	-1	-3.05001095784449	TF
early	IGF1R	-1		PKN
early	ABL1	1		PKN
early	AURKB	-1	-3.2421037974326	Kinase/ phosphatase
early	RHOA	-1		PKN
early	SMAD5	1	12.7526882166277	TF
early	NR2F2	-1	-3.26241972367502	TF
early	JUN	-1		PKN
early	ATF3	-1	-3.84561212599744	TF
early	FOSL2	1	3.93584666283195	TF
early	RPS6KA3	1	3.03402906002979	Kinase/ phosphatase
early	MNT	1	3.4450377915094	TF
early	ATF6	1	3.78550060545461	TF
early	BHLHE40	1	6.6538275522898	TF
early	RPS6KA1	1	4.34059721497522	Kinase/ phosphatase
early	PIK3CA	-1		PKN
early	APEX1	1		PKN
early	STAT2	1	5.04034496900821	TF
early	GLI1	-1	-3.38427284253802	TF
early	RAF1	-1	-3.09387270950905	Kinase/ phosphatase
early	KMT2A	1	9.37277078198052	TF
early	FOXM1	-1		PKN
early	E2F3	-1		PKN
early	MAPKAPK2	1	8.1981840128596	Kinase/ phosphatase
early	HIF1A	-1	-3.08195616325697	TF
early	SIRT1	-1		PKN
early	STAT5A	1		PKN
early	RPS6KB1	1	5.12159555811472	Kinase/ phosphatase
early	TEAD4	1	3.67604211392994	TF
early	SMAD1	1	4.45159005032565	TF
early	AKT1	1	4.88777736993531	Kinase/ phosphatase
early	KLF4	-1	-3.01657882112287	TF
early	NR3C1	1		PKN
early	PPP2CB	-1	-3.52917605403805	Kinase/ phosphatase
early	E2F1	1	3.13549508499233	TF
early	SMAD4	1	8.55294127708778	TF
early	JAK1	-1		PKN
early	FOXO4	-1	-3.95734228555743	TF
early	FOXL2	1	4.03305933481831	TF
early	TP53	-1	-3.42603033011242	TF
early	RARA	1	4.38823423857732	TF
early	ROCK1	-1	-3.3228346550483	Kinase/ phosphatase
early	CDK3	-1	-3.06511335490922	Kinase/ phosphatase
early	NR4A1	1	3.53335737646248	TF
early	PRKCZ	-1	-3.09589143804074	Kinase/ phosphatase
early	UBE2I	1		PKN
