network	edge	source	sign	target
early	RHOA--(1)--ROCK2	RHOA	(1)	ROCK2
early	FOXM1--(1)--ROCK1	FOXM1	(1)	ROCK1
early	TGFB1--(1)--CDKN1A	TGFB1	(1)	CDKN1A
early	MAPK1--(1)--STAT5A	MAPK1	(1)	STAT5A
early	CSNK2A1--(1)--APEX1	CSNK2A1	(1)	APEX1
early	ID3--(1)--NOTCH1	ID3	(1)	NOTCH1
early	KLF4--(-1)--RARA	KLF4	(-1)	RARA
early	KLF9--(1)--CDKN1A	KLF9	(1)	CDKN1A
early	MYC--(1)--CSTB	MYC	(1)	CSTB
early	SMAD3--(1)--ITGA11	SMAD3	(1)	ITGA11
early	RELA--(1)--STAT1	RELA	(1)	STAT1
early	CSNK2A2--(1)--CSNK2A1	CSNK2A2	(1)	CSNK2A1
early	ZBTB7A--(-1)--RB1	ZBTB7A	(-1)	RB1
early	RELA--(1)--HTRA1	RELA	(1)	HTRA1
early	AURKB--(-1)--VIM	AURKB	(-1)	VIM
early	SRF--(1)--ITGB1	SRF	(1)	ITGB1
early	BCL6--(1)--GLI1	BCL6	(1)	GLI1
early	SMAD5--(1)--ID3	SMAD5	(1)	ID3
early	FOXO4--(1)--BCL6	FOXO4	(1)	BCL6
early	FOXK2--(1)--SIN3A	FOXK2	(1)	SIN3A
early	CHEK1--(1)--AURKB	CHEK1	(1)	AURKB
early	TEAD4--(1)--CCN2	TEAD4	(1)	CCN2
early	SP1--(1)--SERPINE2	SP1	(1)	SERPINE2
early	RPS6KA3--(1)--FOS	RPS6KA3	(1)	FOS
early	SP1--(1)--MMP11	SP1	(1)	MMP11
early	MAP2K1--(1)--RPS6KB1	MAP2K1	(1)	RPS6KB1
early	FLI1--(1)--TNC	FLI1	(1)	TNC
early	RARA--(1)--BHLHE40	RARA	(1)	BHLHE40
early	E2F5--(1)--LOXL2	E2F5	(1)	LOXL2
early	ROCK2--(1)--CTNNB1	ROCK2	(1)	CTNNB1
early	SP1--(1)--LTBP4	SP1	(1)	LTBP4
early	SMAD3--(1)--GREM1	SMAD3	(1)	GREM1
early	TP53--(1)--LGALS1	TP53	(1)	LGALS1
early	KMT2A--(1)--RELA	KMT2A	(1)	RELA
early	GLI1--(-1)--ADAM12	GLI1	(-1)	ADAM12
early	RPS6KB1--(1)--NFATC4	RPS6KB1	(1)	NFATC4
early	PRKG2--(1)--CREB1	PRKG2	(1)	CREB1
early	FOSL2--(1)--TGFB1	FOSL2	(1)	TGFB1
early	RB1--(1)--TGFBI	RB1	(1)	TGFBI
early	STAT1--(1)--HSPG2	STAT1	(1)	HSPG2
early	CDK3--(1)--CHEK1	CDK3	(1)	CHEK1
early	SP1--(1)--IGFBP7	SP1	(1)	IGFBP7
early	NOTCH1--(1)--ADAM19	NOTCH1	(1)	ADAM19
early	PRKG1--(1)--SRF	PRKG1	(1)	SRF
early	AKT3--(-1)--FOXO4	AKT3	(-1)	FOXO4
early	CREB1--(1)--E2F5	CREB1	(1)	E2F5
early	SP1--(1)--BGN	SP1	(1)	BGN
early	RELA--(1)--AMIGO2	RELA	(1)	AMIGO2
early	SP1--(1)--SPARC	SP1	(1)	SPARC
early	MAPKAPK2--(1)--VIM	MAPKAPK2	(1)	VIM
early	MYC--(1)--JUP	MYC	(1)	JUP
early	SIN3A--(-1)--E2F1	SIN3A	(-1)	E2F1
early	CSNK2A1--(1)--IGFBP3	CSNK2A1	(1)	IGFBP3
early	CDKN1A--(-1)--CDK3	CDKN1A	(-1)	CDK3
early	PPP2CB--(-1)--AKT3	PPP2CB	(-1)	AKT3
early	NR4A1--(1)--MAP2K1	NR4A1	(1)	MAP2K1
early	SP1--(1)--ADGRG1	SP1	(1)	ADGRG1
early	SP1--(1)--EPAS1	SP1	(1)	EPAS1
early	RELA--(1)--SP1	RELA	(1)	SP1
early	GREM1--(-1)--GDF5	GREM1	(-1)	GDF5
early	FOXL2--(1)--INHBA	FOXL2	(1)	INHBA
early	NR2F2--(1)--TFAP2A	NR2F2	(1)	TFAP2A
early	CTNNB1--(1)--GREM2	CTNNB1	(1)	GREM2
early	PRKCZ--(-1)--AKT1	PRKCZ	(-1)	AKT1
early	SMAD1--(1)--IL11	SMAD1	(1)	IL11
early	EPAS1--(1)--MMP14	EPAS1	(1)	MMP14
early	ATF6--(1)--SRF	ATF6	(1)	SRF
early	SP1--(1)--COL5A1	SP1	(1)	COL5A1
early	TGFB1--(1)--SMAD3	TGFB1	(1)	SMAD3
early	SP1--(1)--FBN1	SP1	(1)	FBN1
early	FOS--(1)--POSTN	FOS	(1)	POSTN
early	ETS2--(1)--NR2F2	ETS2	(1)	NR2F2
early	GREM2--(-1)--GDF6	GREM2	(-1)	GDF6
early	HIC1--(-1)--CDKN1A	HIC1	(-1)	CDKN1A
early	PLK3--(1)--TP53	PLK3	(1)	TP53
early	STAT2--(1)--SERPINE1	STAT2	(1)	SERPINE1
early	E2F1--(1)--CTSV	E2F1	(1)	CTSV
early	EGR1--(1)--CSPG4	EGR1	(1)	CSPG4
early	PPP2CB--(-1)--MYC	PPP2CB	(-1)	MYC
early	AKT1--(-1)--RAF1	AKT1	(-1)	RAF1
early	RPS6KA1--(1)--NR4A1	RPS6KA1	(1)	NR4A1
early	FOS--(1)--FN1	FOS	(1)	FN1
early	ATF3--(-1)--MMP2	ATF3	(-1)	MMP2
early	NFATC4--(1)--COL1A1	NFATC4	(1)	COL1A1
early	PAX6--(1)--SFRP2	PAX6	(1)	SFRP2
early	SP1--(1)--ECM1	SP1	(1)	ECM1
early	SMAD4--(1)--TAGLN	SMAD4	(1)	TAGLN
late	CTNNB1--(1)--MMP14	CTNNB1	(1)	MMP14
late	SP1--(1)--MET	SP1	(1)	MET
late	MYC--(1)--PRKACA	MYC	(1)	PRKACA
late	TRIM28--(-1)--E2F4	TRIM28	(-1)	E2F4
late	STAT5B--(1)--CDK6	STAT5B	(1)	CDK6
late	MMP2--(1)--EGFR	MMP2	(1)	EGFR
late	PDK1--(1)--AKT1	PDK1	(1)	AKT1
late	HSPG2--(1)--ITGA2	HSPG2	(1)	ITGA2
late	STAT3--(-1)--TP53	STAT3	(-1)	TP53
late	STAT3--(1)--FOXM1	STAT3	(1)	FOXM1
late	GDF6--(1)--BMPR1A	GDF6	(1)	BMPR1A
late	AR--(1)--INHBA	AR	(1)	INHBA
late	COL1A1--(1)--ITGA11	COL1A1	(1)	ITGA11
late	RNF14--(-1)--AR	RNF14	(-1)	AR
late	MMP14--(1)--MMP2	MMP14	(1)	MMP2
late	SP1--(1)--SRC	SP1	(1)	SRC
late	TGFB1--(1)--SMAD4	TGFB1	(1)	SMAD4
late	ADAM12--(1)--PIK3CA	ADAM12	(1)	PIK3CA
late	PRKACB--(-1)--GLI1	PRKACB	(-1)	GLI1
late	ITGA2--(1)--CSK	ITGA2	(1)	CSK
late	IL11--(1)--IL6ST	IL11	(1)	IL6ST
late	CSNK2A1--(1)--SRF	CSNK2A1	(1)	SRF
late	SERPINE2--(-1)--PLAT	SERPINE2	(-1)	PLAT
late	SP1--(-1)--FOXA1	SP1	(-1)	FOXA1
late	CTCF--(1)--PTPRG	CTCF	(1)	PTPRG
late	YAP1--(1)--TEAD4	YAP1	(1)	TEAD4
late	SFRP2--(-1)--FZD5	SFRP2	(-1)	FZD5
late	FOXM1--(1)--PLK1	FOXM1	(1)	PLK1
late	PDGFD--(1)--STAT5B	PDGFD	(1)	STAT5B
late	MAPK1--(-1)--ROCK1	MAPK1	(-1)	ROCK1
late	FBN1--(1)--TGFB1	FBN1	(1)	TGFB1
late	PLK1--(1)--ROCK2	PLK1	(1)	ROCK2
late	MAPK1--(1)--MAPKAPK2	MAPK1	(1)	MAPKAPK2
late	CIITA--(1)--RFX5	CIITA	(1)	RFX5
late	STAT3--(1)--REL	STAT3	(1)	REL
late	PDK1--(1)--PRKCZ	PDK1	(1)	PRKCZ
late	SP1--(1)--COL1A1	SP1	(1)	COL1A1
late	SPARC--(-1)--PDGFD	SPARC	(-1)	PDGFD
late	E2F4--(1)--E2F1	E2F4	(1)	E2F1
late	AR--(1)--ATF6	AR	(1)	ATF6
late	REL--(1)--ELF3	REL	(1)	ELF3
late	MAPK1--(1)--SP1	MAPK1	(1)	SP1
late	ADGRG1--(1)--RHOA	ADGRG1	(1)	RHOA
late	STAT3--(1)--MYC	STAT3	(1)	MYC
late	PDK1--(1)--RPS6KA1	PDK1	(1)	RPS6KA1
late	TP53--(1)--GREM1	TP53	(1)	GREM1
late	SP1--(1)--SPARC	SP1	(1)	SPARC
late	COL5A1--(1)--ITGB1	COL5A1	(1)	ITGB1
late	IL6ST--(-1)--STAT3	IL6ST	(-1)	STAT3
late	RHOA--(1)--MAPK1	RHOA	(1)	MAPK1
late	CSNK2A1--(1)--IGFBP3	CSNK2A1	(1)	IGFBP3
late	SP1--(1)--EPAS1	SP1	(1)	EPAS1
late	ITGB1--(1)--PTK2	ITGB1	(1)	PTK2
late	INHBA--(1)--ACVR1	INHBA	(1)	ACVR1
late	GREM1--(-1)--GDF5	GREM1	(-1)	GDF5
late	TGFB1--(1)--SMAD5	TGFB1	(1)	SMAD5
late	EGFR--(1)--MAP2K1	EGFR	(1)	MAP2K1
late	NFKB1--(-1)--CTCF	NFKB1	(-1)	CTCF
late	TAGLN--(-1)--RNF14	TAGLN	(-1)	RNF14
late	NR3C1--(1)--KLF9	NR3C1	(1)	KLF9
late	NFKB1--(1)--ABL1	NFKB1	(1)	ABL1
late	PRKACA--(1)--RAF1	PRKACA	(1)	RAF1
late	CCN2--(1)--FN1	CCN2	(1)	FN1
late	MAPK3--(1)--SREBF1	MAPK3	(1)	SREBF1
late	SP1--(1)--FBN1	SP1	(1)	FBN1
late	MAPK1--(1)--CSNK2A1	MAPK1	(1)	CSNK2A1
late	NFKB2--(1)--MAP3K8	NFKB2	(1)	MAP3K8
late	BMPR1A--(1)--PRKACB	BMPR1A	(1)	PRKACB
late	NFKB2--(1)--TRIM28	NFKB2	(1)	TRIM28
late	PIK3CA--(1)--NFKB1	PIK3CA	(1)	NFKB1
late	PLAT--(1)--MAPK3	PLAT	(1)	MAPK3
late	ABL1--(1)--YAP1	ABL1	(1)	YAP1
late	TRIM28--(1)--NR3C1	TRIM28	(1)	NR3C1
late	SP1--(1)--KMT2A	SP1	(1)	KMT2A
late	TGFB1--(-1)--PAX8	TGFB1	(-1)	PAX8
late	SRC--(-1)--PPP2CA	SRC	(-1)	PPP2CA
late	SP1--(1)--NFKB2	SP1	(1)	NFKB2
late	FZD5--(-1)--CTNNB1	FZD5	(-1)	CTNNB1
late	MAPK3--(1)--ATF4	MAPK3	(1)	ATF4
late	ACVR1--(1)--ETS1	ACVR1	(1)	ETS1
late	TP53--(1)--SERPINE1	TP53	(1)	SERPINE1
late	PTPRG--(1)--STAT2	PTPRG	(1)	STAT2
late	CTCF--(-1)--PAX6	CTCF	(-1)	PAX6
late	STAT3--(1)--CIITA	STAT3	(1)	CIITA
late	MYC--(1)--PDK1	MYC	(1)	PDK1
late	MET--(1)--PTK2	MET	(1)	PTK2
late	RELA--(1)--LAMC1	RELA	(1)	LAMC1
late	NFE2L2--(1)--SPARC	NFE2L2	(1)	SPARC
late	PRKACA--(1)--GLI1	PRKACA	(1)	GLI1
late	PIK3R1--(1)--PRKCZ	PIK3R1	(1)	PRKCZ
late	SP1--(1)--TGFBI	SP1	(1)	TGFBI
late	STAT2--(1)--CREBBP	STAT2	(1)	CREBBP
late	HNF4G--(1)--AGT	HNF4G	(1)	AGT
late	PDK1--(1)--AKT1	PDK1	(1)	AKT1
late	CSNK2A2--(1)--CSNK2A1	CSNK2A2	(1)	CSNK2A1
late	RELA--(1)--MMP14	RELA	(1)	MMP14
late	STAT3--(1)--JUNB	STAT3	(1)	JUNB
late	STAT3--(1)--S100A11	STAT3	(1)	S100A11
late	SMAD4--(1)--THBS1	SMAD4	(1)	THBS1
late	ELF3--(1)--COL2A1	ELF3	(1)	COL2A1
late	ETS2--(1)--C1QTNF5	ETS2	(1)	C1QTNF5
late	EGR1--(1)--COL11A1	EGR1	(1)	COL11A1
late	CDK6--(1)--RUNX1	CDK6	(1)	RUNX1
late	SRF--(1)--EGR1	SRF	(1)	EGR1
late	SMAD5--(1)--ID3	SMAD5	(1)	ID3
late	STAT3--(1)--IL11	STAT3	(1)	IL11
late	MAP3K8--(1)--MAP2K1	MAP3K8	(1)	MAP2K1
late	AKT1--(1)--PRKACA	AKT1	(1)	PRKACA
late	CIITA--(-1)--COL1A1	CIITA	(-1)	COL1A1
late	ABL1--(1)--MET	ABL1	(1)	MET
late	TEAD4--(1)--CCN2	TEAD4	(1)	CCN2
late	JUNB--(1)--LTBP3	JUNB	(1)	LTBP3
late	TP53--(1)--VCAN	TP53	(1)	VCAN
late	NFKB1--(1)--COL7A1	NFKB1	(1)	COL7A1
late	ROCK1--(1)--SOX9	ROCK1	(1)	SOX9
late	MAP2K1--(1)--STAT3	MAP2K1	(1)	STAT3
late	SMAD4--(1)--ATF1	SMAD4	(1)	ATF1
late	JUNB--(1)--RBPJ	JUNB	(1)	RBPJ
late	KLF9--(1)--MAPK8	KLF9	(1)	MAPK8
late	RPS6KA1--(1)--YBX1	RPS6KA1	(1)	YBX1
late	SP1--(1)--GPC4	SP1	(1)	GPC4
late	GLI1--(1)--SFRP1	GLI1	(1)	SFRP1
late	SP1--(1)--GDF15	SP1	(1)	GDF15
late	E2F5--(1)--LOXL2	E2F5	(1)	LOXL2
late	ROCK2--(1)--CTNNB1	ROCK2	(1)	CTNNB1
late	SP1--(1)--LTBP4	SP1	(1)	LTBP4
late	KMT2A--(1)--RELA	KMT2A	(1)	RELA
late	MAPK1--(1)--MAPKAPK2	MAPK1	(1)	MAPKAPK2
late	PAX8--(1)--E2F1	PAX8	(1)	E2F1
late	SOX9--(1)--IGFBP4	SOX9	(1)	IGFBP4
late	E2F1--(-1)--SERPINE2	E2F1	(-1)	SERPINE2
late	PRKCZ--(-1)--SRC	PRKCZ	(-1)	SRC
late	NFKB1--(1)--HTRA1	NFKB1	(1)	HTRA1
late	CREBBP--(1)--SREBF1	CREBBP	(1)	SREBF1
late	STAT1--(1)--HSPG2	STAT1	(1)	HSPG2
late	REL--(1)--S100A6	REL	(1)	S100A6
late	YBX1--(1)--KLF4	YBX1	(1)	KLF4
late	MAPK1--(1)--SP1	MAPK1	(1)	SP1
late	NFE2L2--(1)--PXDN	NFE2L2	(1)	PXDN
late	NR4A2--(1)--SRGN	NR4A2	(1)	SRGN
late	EGR1--(1)--COL4A2	EGR1	(1)	COL4A2
late	FOXM1--(1)--MYC	FOXM1	(1)	MYC
late	RFX5--(1)--CIITA	RFX5	(1)	CIITA
late	MAPK8--(1)--TP53	MAPK8	(1)	TP53
late	PTPRG--(-1)--ITGB1	PTPRG	(-1)	ITGB1
late	RELA--(1)--AMIGO2	RELA	(1)	AMIGO2
late	TFAP2A--(1)--ADAMTS7	TFAP2A	(1)	ADAMTS7
late	ATF1--(1)--MATN3	ATF1	(1)	MATN3
late	TP53--(1)--GREM1	TP53	(1)	GREM1
late	SP1--(1)--GATA6	SP1	(1)	GATA6
late	MAPKAPK2--(1)--VIM	MAPKAPK2	(1)	VIM
late	RELA--(1)--TFAP2A	RELA	(1)	TFAP2A
late	AGT--(1)--PIK3R1	AGT	(1)	PIK3R1
late	PPP2CA--(-1)--MAPK1	PPP2CA	(-1)	MAPK1
late	EGR1--(1)--INHBA	EGR1	(1)	INHBA
late	NR4A2--(1)--SPP1	NR4A2	(1)	SPP1
late	CSNK2A1--(1)--IGFBP3	CSNK2A1	(1)	IGFBP3
late	TP53--(1)--NFE2L2	TP53	(1)	NFE2L2
late	RBPJ--(1)--ADAM19	RBPJ	(1)	ADAM19
late	NFKB1--(1)--ADAM12	NFKB1	(1)	ADAM12
late	HDLBP--(1)--CTCF	HDLBP	(1)	CTCF
late	SRC--(1)--JUP	SRC	(1)	JUP
late	REL--(1)--LGALS1	REL	(1)	LGALS1
late	GREM1--(-1)--GDF5	GREM1	(-1)	GDF5
late	JUNB--(1)--MMP11	JUNB	(1)	MMP11
late	SP1--(1)--HDLBP	SP1	(1)	HDLBP
late	FOXA1--(1)--NR4A2	FOXA1	(1)	NR4A2
late	SREBF1--(-1)--SERPINE1	SREBF1	(-1)	SERPINE1
late	SP1--(1)--PDGFC	SP1	(1)	PDGFC
late	CTNNB1--(1)--GREM2	CTNNB1	(1)	GREM2
late	EPAS1--(1)--TAGLN	EPAS1	(1)	TAGLN
late	E2F4--(1)--FOXM1	E2F4	(1)	FOXM1
late	KLF4--(1)--LAMA3	KLF4	(1)	LAMA3
late	TP53--(1)--IGFBP7	TP53	(1)	IGFBP7
late	PTK2--(1)--STAT1	PTK2	(1)	STAT1
late	JUNB--(1)--POSTN	JUNB	(1)	POSTN
late	ATF6--(1)--SRF	ATF6	(1)	SRF
late	ETS1--(1)--ITGA11	ETS1	(1)	ITGA11
late	COL2A1--(1)--SDC4	COL2A1	(1)	SDC4
late	SP1--(1)--COL5A1	SP1	(1)	COL5A1
late	PPP2CA--(1)--RAF1	PPP2CA	(1)	RAF1
late	GATA6--(1)--SEMA3C	GATA6	(1)	SEMA3C
late	SP1--(1)--FBN1	SP1	(1)	FBN1
late	CTCF--(1)--HMCN1	CTCF	(1)	HMCN1
late	GREM2--(-1)--GDF6	GREM2	(-1)	GDF6
late	RUNX1--(1)--ANXA1	RUNX1	(1)	ANXA1
late	ATF1--(1)--MMP2	ATF1	(1)	MMP2
late	NFKB1--(1)--BGN	NFKB1	(1)	BGN
late	EGR1--(1)--CSPG4	EGR1	(1)	CSPG4
late	JUNB--(1)--LAMB1	JUNB	(1)	LAMB1
late	SMAD4--(1)--E2F5	SMAD4	(1)	E2F5
late	RFX1--(1)--ADGRG1	RFX1	(1)	ADGRG1
late	EGR1--(1)--COL4A1	EGR1	(1)	COL4A1
late	MYC--(-1)--FN1	MYC	(-1)	FN1
late	SP1--(1)--ETS2	SP1	(1)	ETS2
late	PAX6--(1)--SFRP2	PAX6	(1)	SFRP2
late	NFKB1--(1)--TNC	NFKB1	(1)	TNC
late	ID3--(-1)--COL1A2	ID3	(-1)	COL1A2
