network	edge	source	sign	target
early	SIRT1--(1)--HIF1A	SIRT1	(1)	HIF1A
early	KLF4--(-1)--RARA	KLF4	(-1)	RARA
early	SMARCA4--(1)--HIC1	SMARCA4	(1)	HIC1
early	CDKN1A--(-1)--CDK1	CDKN1A	(-1)	CDK1
early	CDK1--(1)--TP53	CDK1	(1)	TP53
early	RELA--(1)--MAP2K1	RELA	(1)	MAP2K1
early	JAK1--(1)--STAT4	JAK1	(1)	STAT4
early	SET--(-1)--PPP2CB	SET	(-1)	PPP2CB
early	RELA--(1)--KMT2A	RELA	(1)	KMT2A
early	E2F3--(1)--PLK3	E2F3	(1)	PLK3
early	APEX1--(1)--MNT	APEX1	(1)	MNT
early	SIRT1--(-1)--PAX6	SIRT1	(-1)	PAX6
early	CHEK1--(1)--AURKB	CHEK1	(1)	AURKB
early	TGFB1--(1)--SMAD4	TGFB1	(1)	SMAD4
early	AKT1--(1)--RPS6KB1	AKT1	(1)	RPS6KB1
early	CSNK2A1--(1)--SRF	CSNK2A1	(1)	SRF
early	JUN--(1)--SMARCA4	JUN	(1)	SMARCA4
early	MAPK1--(1)--RELA	MAPK1	(1)	RELA
early	ABL1--(1)--PRKD1	ABL1	(1)	PRKD1
early	YAP1--(1)--TEAD4	YAP1	(1)	TEAD4
early	HDAC1--(1)--FLI1	HDAC1	(1)	FLI1
early	JAK1--(1)--PIK3CA	JAK1	(1)	PIK3CA
early	MAPK1--(1)--STAT2	MAPK1	(1)	STAT2
early	RELA--(1)--PRKG1	RELA	(1)	PRKG1
early	RELA--(-1)--IGF1R	RELA	(-1)	IGF1R
early	FOXM1--(1)--UHMK1	FOXM1	(1)	UHMK1
early	STAT5A--(1)--AR	STAT5A	(1)	AR
early	MAPK1--(1)--MAPKAPK2	MAPK1	(1)	MAPKAPK2
early	RELA--(1)--HDAC1	RELA	(1)	HDAC1
early	SIRT1--(1)--FOXO4	SIRT1	(1)	FOXO4
early	IGF1R--(1)--JAK1	IGF1R	(1)	JAK1
early	CDK3--(1)--CHEK1	CDK3	(1)	CHEK1
early	CHEK1--(1)--E2F3	CHEK1	(1)	E2F3
early	AR--(1)--ATF6	AR	(1)	ATF6
early	RELA--(1)--NR4A1	RELA	(1)	NR4A1
early	KMT2A--(1)--SET	KMT2A	(1)	SET
early	HDAC1--(-1)--KLF4	HDAC1	(-1)	KLF4
early	AR--(1)--NR3C1	AR	(1)	NR3C1
early	APEX1--(1)--EGR1	APEX1	(1)	EGR1
early	TGFB1--(1)--MAPK1	TGFB1	(1)	MAPK1
early	CDK1--(1)--SIRT1	CDK1	(1)	SIRT1
early	EGR1--(1)--ABL1	EGR1	(1)	ABL1
early	AR--(1)--UBE2I	AR	(1)	UBE2I
early	UBE2I--(1)--FOXL2	UBE2I	(1)	FOXL2
early	CDK1--(1)--FOXK2	CDK1	(1)	FOXK2
early	PLK3--(1)--JUN	PLK3	(1)	JUN
early	CDKN1A--(-1)--CDK3	CDKN1A	(-1)	CDK3
early	PPP2CB--(-1)--AKT3	PPP2CB	(-1)	AKT3
early	TGFB1--(1)--SMAD1	TGFB1	(1)	SMAD1
early	TGFB1--(1)--SMAD5	TGFB1	(1)	SMAD5
early	EPAS1--(1)--BHLHE40	EPAS1	(1)	BHLHE40
early	RELA--(1)--EPAS1	RELA	(1)	EPAS1
early	CDK1--(1)--FOXM1	CDK1	(1)	FOXM1
early	RELA--(1)--E2F1	RELA	(1)	E2F1
early	MAPK1--(1)--RPS6KA3	MAPK1	(1)	RPS6KA3
early	NR3C1--(1)--KLF9	NR3C1	(1)	KLF9
early	PIK3CA--(1)--ZBTB7A	PIK3CA	(1)	ZBTB7A
early	JUN--(1)--ETS2	JUN	(1)	ETS2
early	MAPK1--(1)--CSNK2A1	MAPK1	(1)	CSNK2A1
early	SIRT1--(1)--GLI1	SIRT1	(1)	GLI1
early	ETS2--(1)--NR2F2	ETS2	(1)	NR2F2
early	JUN--(1)--RHOA	JUN	(1)	RHOA
early	RARA--(1)--AKT1	RARA	(1)	AKT1
early	MAPK1--(1)--RPS6KA1	MAPK1	(1)	RPS6KA1
early	TP53--(1)--TFAP2A	TP53	(1)	TFAP2A
early	JUN--(1)--ATF3	JUN	(1)	ATF3
early	ABL1--(1)--YAP1	ABL1	(1)	YAP1
early	AKT1--(-1)--RAF1	AKT1	(-1)	RAF1
early	PIK3CA--(1)--PRKCZ	PIK3CA	(1)	PRKCZ
early	STAT5A--(1)--FOSL2	STAT5A	(1)	FOSL2
